PC Latitude,PC Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
60.172206603475864,24.929289808271264,Konditoria Café Briossi,60.16732018214408,24.938286947271664,Bakery
60.172206603475864,24.929289808271264,Fazer Café,60.16848131378249,24.947505663447085,Café
60.172206603475864,24.929289808271264,Café Strindberg,60.167690076134065,24.94624256936585,Café
60.172206603475864,24.929289808271264,KuuKuu,60.1754,24.92519,Scandinavian Restaurant
60.172206603475864,24.929289808271264,St. Urho's Pub,60.17397,24.9315,Beer Bar
60.172206603475864,24.929289808271264,Angleterre,60.16625428697946,24.934633340025428,Pub
60.172206603475864,24.929289808271264,Black Door,60.16408199999999,24.943506,Pub
60.172206603475864,24.929289808271264,Café Esplanad,60.16775002876532,24.944576538563275,Café
60.172206603475864,24.929289808271264,Ateljee Bar,60.16784635808671,24.938512379777862,Hotel Bar
60.172206603475864,24.929289808271264,Café Bar 9,60.16491109093368,24.94195348944023,Bar
60.172206603475864,24.929289808271264,Corona Bar & Billiards,60.166946067531576,24.93429455021423,Pool Hall
60.172206603475864,24.929289808271264,A21 Decades,60.16671189608765,24.93709433026455,Cocktail Bar
60.172206603475864,24.929289808271264,Cafe Regatta,60.18014473064337,24.91177324371757,Café
60.172206603475864,24.929289808271264,Tavastiaklubi,60.16841236446477,24.932991250365053,Rock Club
60.172206603475864,24.929289808271264,Kiasma,60.17165167467719,24.936536518222734,Art Museum
60.172206603475864,24.929289808271264,Luonnontieteellinen museo,60.171349882575996,24.931548522865448,Science Museum
60.172206603475864,24.929289808271264,Taidehalli,60.172127213487165,24.931014230817123,Art Gallery
60.172206603475864,24.929289808271264,Orion,60.166392787242906,24.932824367227546,Indie Movie Theater
60.172206603475864,24.929289808271264,Q-teatteri,60.17418376042161,24.92351579788917,Theater
60.172206603475864,24.929289808271264,Teerenpeli,60.17028238222033,24.933750224097984,Brewery
60.172206603475864,24.929289808271264,Gran Delicato,60.16530152999303,24.932182913812337,Sandwich Place
60.172206603475864,24.929289808271264,La Torrefazione,60.16890053536015,24.943817349875317,Coffee Shop
60.172206603475864,24.929289808271264,Futurice,60.16876556269106,24.9342998201255,IT Services
60.172206603475864,24.929289808271264,Kaisla,60.17187781340304,24.94737758064779,Beer Bar
60.172206603475864,24.929289808271264,New Bamboo Center,60.16793995031053,24.93541261961045,Chinese Restaurant
60.172206603475864,24.929289808271264,Satkar,60.16893,24.929389999999998,Himalayan Restaurant
60.172206603475864,24.929289808271264,Ilves,60.168500178690635,24.932454866181875,Scandinavian Restaurant
60.172206603475864,24.929289808271264,One Pint Pub,60.162014265266144,24.92006656021696,Beer Bar
60.172206603475864,24.929289808271264,Ateljé Finne,60.171198317420114,24.928515398592285,Scandinavian Restaurant
60.172206603475864,24.929289808271264,American Bar,60.16766415083854,24.938927059877013,Cocktail Bar
60.172206603475864,24.929289808271264,Vastarannan Kiiski,60.17405837412649,24.922309158609465,Pub
60.172206603475864,24.929289808271264,Farang,60.171937,24.931498,Asian Restaurant
60.172206603475864,24.929289808271264,Singapore Hot Wok,60.169163,24.933889999999998,Malay Restaurant
60.172206603475864,24.929289808271264,Kakkugalleria,60.165162426661595,24.935863877334505,Pastry Shop
60.172206603475864,24.929289808271264,Umeshu,60.17724679829832,24.92457404631065,Sushi Restaurant
60.172206603475864,24.929289808271264,The Ounce,60.167181864669764,24.93299326525456,Tea Room
60.172206603475864,24.929289808271264,Ruohonjuuri,60.17001616599847,24.933404214763296,Health Food Store
60.172206603475864,24.929289808271264,Yrjönkadun uimahalli,60.16823398319812,24.939272180885137,Pool
60.172206603475864,24.929289808271264,Ravintola Aito,60.17535213985125,24.921318515837804,Scandinavian Restaurant
60.172206603475864,24.929289808271264,Tokyo 55,60.17959927305515,24.923579692840576,Sushi Restaurant
60.172206603475864,24.929289808271264,Kanniston Leipomo,60.16985146620694,24.94621310644736,Bakery
60.172206603475864,24.929289808271264,Kahvila Marocco,60.17486802133389,24.928057601704737,Coffee Shop
60.172206603475864,24.929289808271264,Alko,60.17076021437946,24.935138002038002,Wine Shop
60.172206603475864,24.929289808271264,Café Tin Tin Tango,60.178509999999996,24.9253,Café
60.172206603475864,24.929289808271264,Helsingin Astanga joogakoulu,60.16812849518262,24.93606138616468,Yoga Studio
60.172206603475864,24.929289808271264,Keltainen Jäänsärkijä,60.168563650015365,24.9328276142478,Record Shop
60.172206603475864,24.929289808271264,SIS. Deli + Café,60.167806999999996,24.939617000000002,Café
60.172206603475864,24.929289808271264,Arkadia Oy International Bookshop,60.17331349950969,24.92920498463132,Bookstore
60.172206603475864,24.929289808271264,Fantasiapelit,60.16946082452628,24.940527087011642,Hobby Shop
60.172206603475864,24.929289808271264,Sinisen huvilan kahvila,60.18130473847018,24.937043019248875,Café
60.172206603475864,24.929289808271264,Polarn O. Pyret,60.16947273503685,24.93342831292224,Kids Store
60.172206603475864,24.929289808271264,Kaffecentralen,60.16365860997215,24.945917340095527,Coffee Shop
60.172206603475864,24.929289808271264,Domo,60.16635964195443,24.93510184077568,Sushi Restaurant
60.172206603475864,24.929289808271264,Musiikkitalo,60.17339495476842,24.93529290803187,Concert Hall
60.172206603475864,24.929289808271264,Laiska Karhu,60.17433918718844,24.918914233124234,Pub
60.172206603475864,24.929289808271264,Lautapelit.fi,60.169470812168825,24.933423925143035,Toy / Game Store
60.172206603475864,24.929289808271264,Terrace,60.17363891786482,24.9325159604826,Beer Garden
60.172206603475864,24.929289808271264,Grotesk Bar,60.165791773199174,24.94399976170246,Cocktail Bar
60.172206603475864,24.929289808271264,Väinämöisen kenttä,60.17200258173885,24.917400880164234,Soccer Field
60.172206603475864,24.929289808271264,Hopia,60.177363314967025,24.92662084163157,Bakery
60.172206603475864,24.929289808271264,Morticia,60.169480310057345,24.93345335420502,Clothing Store
60.172206603475864,24.929289808271264,Sushibar + Wine,60.167414932261146,24.93247745077795,Sushi Restaurant
60.172206603475864,24.929289808271264,Ravintola Muru,60.16526764637868,24.93595705214043,French Restaurant
60.172206603475864,24.929289808271264,Teatteri Wine & Deli,60.167691056517285,24.94396700778245,Salad Place
60.172206603475864,24.929289808271264,Yoga Nordic - Helsinki,60.16884161373975,24.93261337280273,Yoga Studio
60.172206603475864,24.929289808271264,Kampin Kukka,60.16744586375617,24.923601562189322,Flower Shop
60.172206603475864,24.929289808271264,Gaijin,60.16594936404362,24.94175921532665,Asian Restaurant
60.172206603475864,24.929289808271264,Andante,60.162856385803394,24.9390822408786,Coffee Shop
60.172206603475864,24.929289808271264,Temppeliaukio,60.172552103641536,24.92559992207364,Plaza
60.172206603475864,24.929289808271264,Patisserie Teemu & Markus,60.167898689048464,24.938189914522386,Bakery
60.172206603475864,24.929289808271264,Latva,60.165716,24.948825,Restaurant
60.172206603475864,24.929289808271264,Pueblo,60.1652056289924,24.929423995929678,Mexican Restaurant
60.172206603475864,24.929289808271264,Hoshito,60.171347,24.926682,Japanese Restaurant
60.172206603475864,24.929289808271264,Strindberg kirjastobaari,60.16757462937473,24.946120433103328,Wine Bar
60.172206603475864,24.929289808271264,Putte's Bar & Pizza,60.167483,24.938781,Pizza Place
60.172206603475864,24.929289808271264,Lavaklubi,60.1719664748525,24.943602901654483,Performing Arts Venue
60.172206603475864,24.929289808271264,Fratello Torrefazione,60.169775,24.947885999999997,Coffee Shop
60.172206603475864,24.929289808271264,Chaya Teekauppa,60.16989796219934,24.947813315734333,Tea Room
60.172206603475864,24.929289808271264,Brooklyn Cafe,60.16110206214768,24.94156902102425,Bagel Shop
60.172206603475864,24.929289808271264,Navy Jerry's Rum Bar,60.16965831173421,24.92635138759109,Nightclub
60.172206603475864,24.929289808271264,Cafetoria,60.173203,24.923023999999998,Coffee Shop
60.172206603475864,24.929289808271264,Champagne bar,60.168570771204,24.942689004829454,Wine Bar
60.172206603475864,24.929289808271264,Liberty or Death,60.16469982956185,24.944248795509328,Cocktail Bar
60.172206603475864,24.929289808271264,Baana,60.169973041301546,24.92883682250977,Road
60.172206603475864,24.929289808271264,Viinibaari Vin-Vin,60.167683,24.939196,Wine Bar
60.172206603475864,24.929289808271264,Boulevard Social,60.16612808701048,24.942034436632262,Mediterranean Restaurant
60.172206603475864,24.929289808271264,Omenapuutalo,60.1678409643796,24.91420047021153,Event Space
60.172206603475864,24.929289808271264,Trattoria Sogno,60.177711920251454,24.924867297590197,Italian Restaurant
60.172206603475864,24.929289808271264,Rulla,60.16771815300988,24.93773102760315,Vietnamese Restaurant
60.172206603475864,24.929289808271264,Sushi Wagocoro,60.180714,24.925304,Sushi Restaurant
60.172206603475864,24.929289808271264,Los Cojones,60.16492131032384,24.939725100858745,Bar
60.172206603475864,24.929289808271264,Kaffecentralen,60.167580051384675,24.932525558737048,Coffee Shop
60.172206603475864,24.929289808271264,Twisted Street Kitchen,60.170640648624904,24.92820275299819,Asian Restaurant
60.172206603475864,24.929289808271264,The Boom Room,60.161836571883704,24.937480265996985,Coffee Shop
60.172206603475864,24.929289808271264,Buongiorno Cafe & Restaurant,60.17510667117112,24.91905212402344,Café
60.172206603475864,24.929289808271264,Fafa's,60.169876,24.927835,Falafel Restaurant
60.172206603475864,24.929289808271264,Linko,60.181740000000005,24.925074,Pizza Place
60.172206603475864,24.929289808271264,Deli Café Maya,60.161605865826026,24.93908747877599,Café
60.172206603475864,24.929289808271264,Ravintola Pompier,60.164963,24.932948,Restaurant
60.172206603475864,24.929289808271264,Apéro,60.16421142755892,24.92948055267334,Wine Bar
60.172206603475864,24.929289808271264,Kuuma,60.159985,24.93914,Coffee Shop
60.172206603475864,24.929289808271264,Tortilla House,60.169136,24.933228,Burrito Place
60.172206603475864,24.929289808271264,Cafferino Oba,60.16433262492431,24.92925227335969,Café
60.172206603475864,24.929289808271264,Woolshed Bar & Kitchen,60.17361053657795,24.938824343818045,Burger Joint
60.172206603475864,24.929289808271264,Passio,60.1670878254761,24.937240481543427,Scandinavian Restaurant
60.172206603475864,24.929289808271264,Kahvi Charlotta,60.169011,24.928382,Coffee Shop
60.172206603475864,24.929289808271264,Nespresso Boutique,60.16836059545529,24.943036537949705,Coffee Shop
60.172206603475864,24.929289808271264,Trillby & Chadwick,60.1683976200759,24.95365146506526,Speakeasy
60.172206603475864,24.929289808271264,Bar Favela,60.17205638510929,24.92007737373888,Bar
60.172206603475864,24.929289808271264,Ølhus København,60.16783422286897,24.93918135056576,Beer Bar
60.172206603475864,24.929289808271264,100 Dogs,60.16648305428286,24.930746912915613,Dive Bar
60.172206603475864,24.929289808271264,Casa Italia,60.164557360197534,24.937672925945,Deli / Bodega
60.172206603475864,24.929289808271264,Kabuki,60.16726659324522,24.92441146329812,Japanese Restaurant
60.172206603475864,24.929289808271264,Cafe+,60.16632995337142,24.92682661354753,Sushi Restaurant
60.172206603475864,24.929289808271264,India House,60.169061,24.937214,Indian Restaurant
60.172206603475864,24.929289808271264,Bier-Bier,60.165531298498706,24.943664536867534,Bar
60.172206603475864,24.929289808271264,Levant,60.16413069435021,24.93653069038648,Middle Eastern Restaurant
60.172206603475864,24.929289808271264,Soil Wine Room,60.16399743138898,24.937603867854897,Wine Bar
60.172206603475864,24.929289808271264,TommyKnocker Craft Beer Bar,60.16331485394182,24.941649656002017,Bar
60.172206603475864,24.929289808271264,Roasberg,60.17041999999999,24.945522,Café
60.172206603475864,24.929289808271264,Il Birrificio,60.16344427819581,24.938186188368572,Brewery
60.172206603475864,24.929289808271264,Voffeli & Kaffeli,60.175245999999994,24.924353,Café
60.172206603475864,24.929289808271264,Cafe Rouge,60.168711384314,24.93302744835057,Middle Eastern Restaurant
60.172206603475864,24.929289808271264,Cargo Coffee + Vegetarian Food,60.162808,24.922593,Café
60.172206603475864,24.929289808271264,Kissakahvila Helkatti,60.16729624923893,24.93301236227716,Pet Café
60.172206603475864,24.929289808271264,Why join the navy when you can be a pirate,60.16753740145419,24.93590218648952,Café
60.172206603475864,24.929289808271264,Espresso House,60.169225117385686,24.932164573183805,Coffee Shop
60.172206603475864,24.929289808271264,TeeMaa,60.166425,24.937644,Tea Room
60.172206603475864,24.929289808271264,Ravintola Grön,60.16475500000001,24.932367000000003,Scandinavian Restaurant
60.172206603475864,24.929289808271264,FreshStop,60.172603233800785,24.940047172941924,Coffee Shop
60.172206603475864,24.929289808271264,Espresso House,60.168901002526646,24.93817269463032,Coffee Shop
60.172206603475864,24.929289808271264,El Fant,60.16868,24.953713,Café
60.172206603475864,24.929289808271264,Magnum Helsinki,60.169028000000004,24.940343,Ice Cream Shop
60.172206603475864,24.929289808271264,Kitty's Milkshake Bar,60.162865000000004,24.929229,Ice Cream Shop
60.172206603475864,24.929289808271264,6k,60.16921304003496,24.932216520492783,Food Court
60.172206603475864,24.929289808271264,Runar,60.16632954758476,24.949430865771266,Lounge
60.172206603475864,24.929289808271264,Fisu & Ranet,60.168779,24.93207,Fish & Chips Shop
60.172206603475864,24.929289808271264,G Livelab,60.16406881783863,24.94446476071784,Music Venue
60.172206603475864,24.929289808271264,Pien Shop & Bar,60.16967317676565,24.94452640414238,Beer Store
60.172206603475864,24.929289808271264,Jänö,60.1743097707662,24.930798137015557,Café
60.172206603475864,24.929289808271264,Room Bulevard,60.163806861996825,24.936436213470788,Gay Bar
60.172206603475864,24.929289808271264,Paulig Kulma,60.16898340869731,24.947694227572562,Coffee Shop
60.172206603475864,24.929289808271264,Werner,60.16541239859554,24.94022115356032,BBQ Joint
60.172206603475864,24.929289808271264,John's Coffee Shop,60.163194,24.941009,Coffee Shop
60.172206603475864,24.929289808271264,La Torrefazione,60.169576054040434,24.93334842089737,Café
60.172206603475864,24.929289808271264,Hoku,60.169489503334006,24.933543449708228,Hawaiian Restaurant
60.172206603475864,24.929289808271264,Sori Taproom,60.171962600357006,24.94743537626617,Brewery
60.172206603475864,24.929289808271264,Sandro,60.169640188549565,24.933497488134545,Moroccan Restaurant
60.172206603475864,24.929289808271264,Fisken på Disken,60.1694319102226,24.933581752903052,Seafood Restaurant
60.172206603475864,24.929289808271264,Bar Bronco 3,60.164689,24.932579999999998,Beer Bar
60.172206603475864,24.929289808271264,Robert's Coffee Jugend,60.16793847395258,24.95077505486281,Coffee Shop
60.172206603475864,24.929289808271264,Bricco,60.166733725091184,24.937145748244237,Wine Bar
60.172206603475864,24.929289808271264,Pobre,60.16949972573122,24.933484165363513,Filipino Restaurant
60.172206603475864,24.929289808271264,La Torrefazione,60.17072099999999,24.936158,Café
60.172206603475864,24.929289808271264,Levain,60.173094109551684,24.923055701588947,Bakery
60.172206603475864,24.929289808271264,Social Burgerjoint,60.170232892556974,24.941502905324487,Burger Joint
60.172206603475864,24.929289808271264,Vibami,60.166743156008756,24.934900572889514,Vietnamese Restaurant
60.172206603475864,24.929289808271264,Amos Rex,60.170697121377756,24.9368502027258,Art Museum
60.16325715505139,24.938864595393664,Konditoria Café Briossi,60.16732018214408,24.938286947271664,Bakery
60.16325715505139,24.938864595393664,Ekberg,60.164639543439776,24.937873596734427,Café
60.16325715505139,24.938864595393664,Café Strindberg,60.167690076134065,24.94624256936585,Café
60.16325715505139,24.938864595393664,Angleterre,60.16625428697946,24.934633340025428,Pub
60.16325715505139,24.938864595393664,Punavuoren Ahven,60.161082217868774,24.93753553931723,Beer Bar
60.16325715505139,24.938864595393664,Black Door,60.16408199999999,24.943506,Pub
60.16325715505139,24.938864595393664,Len's Keishoku Bar & Restaurant,60.160538247739744,24.94108412543205,Sushi Restaurant
60.16325715505139,24.938864595393664,Café Esplanad,60.16775002876532,24.944576538563275,Café
60.16325715505139,24.938864595393664,Ateljee Bar,60.16784635808671,24.938512379777862,Hotel Bar
60.16325715505139,24.938864595393664,Café Bar 9,60.16491109093368,24.94195348944023,Bar
60.16325715505139,24.938864595393664,Café Succès,60.15988990913864,24.946633592689942,Coffee Shop
60.16325715505139,24.938864595393664,Corona Bar & Billiards,60.166946067531576,24.93429455021423,Pool Hall
60.16325715505139,24.938864595393664,A21 Decades,60.16671189608765,24.93709433026455,Cocktail Bar
60.16325715505139,24.938864595393664,Moko Market,60.158586401019,24.934517867490328,Salad Place
60.16325715505139,24.938864595393664,LIVINGROOM,60.16606383883954,24.942541009812107,Breakfast Spot
60.16325715505139,24.938864595393664,Juuri,60.163971999999994,24.946269,Scandinavian Restaurant
60.16325715505139,24.938864595393664,Aleksanterin teatteri,60.163520430437096,24.933584127040092,Theater
60.16325715505139,24.938864595393664,C. Hagelstam Antikvariaatti,60.16358647747537,24.93814799702405,Used Bookstore
60.16325715505139,24.938864595393664,Tempera,60.16411248857133,24.939775953050226,Arts & Crafts Store
60.16325715505139,24.938864595393664,Gran Delicato,60.16530152999303,24.932182913812337,Sandwich Place
60.16325715505139,24.938864595393664,Himalaya,60.163648800000004,24.945250899999998,Himalayan Restaurant
60.16325715505139,24.938864595393664,Café Aula,60.16729148034536,24.931058566034277,Café
60.16325715505139,24.938864595393664,Sushibar + Wine,60.164392237164314,24.940428630120405,Sushi Restaurant
60.16325715505139,24.938864595393664,Café Aalto,60.16782505897748,24.94353988650711,Café
60.16325715505139,24.938864595393664,Baribal,60.1584172142425,24.934776463202173,Pool Hall
60.16325715505139,24.938864595393664,SIS. Deli + Café,60.16044870019741,24.94053142256773,Café
60.16325715505139,24.938864595393664,American Bar,60.16766415083854,24.938927059877013,Cocktail Bar
60.16325715505139,24.938864595393664,Kakkugalleria,60.1630632219242,24.933529344492825,Pastry Shop
60.16325715505139,24.938864595393664,Kakkugalleria,60.165162426661595,24.935863877334505,Pastry Shop
60.16325715505139,24.938864595393664,The Ounce,60.167181864669764,24.93299326525456,Tea Room
60.16325715505139,24.938864595393664,Kaffa Roastery,60.1584848358504,24.934468766844674,Coffee Shop
60.16325715505139,24.938864595393664,Karaoke Bar Restroom,60.15796962386712,24.936913255544766,Karaoke Bar
60.16325715505139,24.938864595393664,Sinebrychoffin puisto,60.16162517793622,24.93367552757263,Park
60.16325715505139,24.938864595393664,Kanniston Leipomo,60.1591946335819,24.937208059914713,Bakery
60.16325715505139,24.938864595393664,SIS. Deli+Café,60.160670999999994,24.946339000000002,Coffee Shop
60.16325715505139,24.938864595393664,Café Trocadero,60.16510279120757,24.94249786637479,Mediterranean Restaurant
60.16325715505139,24.938864595393664,Hemingway's Bar & Cafe,60.16189170848399,24.92928952698441,Pub
60.16325715505139,24.938864595393664,SIS. Deli + Café,60.167806999999996,24.939617000000002,Café
60.16325715505139,24.938864595393664,KahVilla & Robert's Coffee Corner,60.16059489178035,24.94631141424179,Coffee Shop
60.16325715505139,24.938864595393664,Vanha kirkkopuisto,60.165951,24.939823,Park
60.16325715505139,24.938864595393664,Kortteliravintola Lungi,60.15973268986053,24.946649943675485,Gastropub
60.16325715505139,24.938864595393664,Hietalahden kauppahalli,60.1628377857665,24.929606896213976,Food Court
60.16325715505139,24.938864595393664,Kaffecentralen,60.16365860997215,24.945917340095527,Coffee Shop
60.16325715505139,24.938864595393664,Koto,60.16469814882343,24.93367474707869,Japanese Restaurant
